SEAS,YR,TOTAL,ANOM,fecha,oni,fase_enso
DJF,1950,24.72,-1.53,1950-01-01,-1.53,Nina
JFM,1950,25.17,-1.34,1950-02-01,-1.34,Nina
FMA,1950,25.75,-1.16,1950-03-01,-1.16,Nina
MAM,1950,26.12,-1.18,1950-04-01,-1.18,Nina
AMJ,1950,26.32,-1.07,1950-05-01,-1.07,Nina
MJJ,1950,26.31,-0.85,1950-06-01,-0.85,Nina
JJA,1950,26.21,-0.54,1950-07-01,-0.54,Nina
JAS,1950,25.96,-0.42,1950-08-01,-0.42,Neutro
ASO,1950,25.76,-0.39,1950-09-01,-0.39,Neutro
SON,1950,25.63,-0.44,1950-10-01,-0.44,Neutro
OND,1950,25.48,-0.6,1950-11-01,-0.6,Nina
NDJ,1950,25.34,-0.8,1950-12-01,-0.8,Nina
DJF,1951,25.42,-0.82,1951-01-01,-0.82,Nina
JFM,1951,25.96,-0.54,1951-02-01,-0.54,Nina
FMA,1951,26.74,-0.17,1951-03-01,-0.17,Neutro
MAM,1951,27.48,0.18,1951-04-01,0.18,Neutro
AMJ,1951,27.75,0.36,1951-05-01,0.36,Neutro
MJJ,1951,27.75,0.58,1951-06-01,0.58,Nino
JJA,1951,27.44,0.7,1951-07-01,0.7,Nino
JAS,1951,27.28,0.89,1951-08-01,0.89,Nino
ASO,1951,27.14,0.99,1951-09-01,0.99,Nino
SON,1951,27.22,1.15,1951-10-01,1.15,Nino
OND,1951,27.12,1.04,1951-11-01,1.04,Nino
NDJ,1951,26.95,0.81,1951-12-01,0.81,Nino
DJF,1952,26.78,0.53,1952-01-01,0.53,Nino
JFM,1952,26.87,0.37,1952-02-01,0.37,Neutro
FMA,1952,27.25,0.34,1952-03-01,0.34,Neutro
MAM,1952,27.6,0.29,1952-04-01,0.29,Neutro
AMJ,1952,27.59,0.2,1952-05-01,0.2,Neutro
MJJ,1952,27.17,0.0,1952-06-01,0.0,Neutro
JJA,1952,26.67,-0.08,1952-07-01,-0.08,Neutro
JAS,1952,26.39,0.0,1952-08-01,0.0,Neutro
ASO,1952,26.3,0.15,1952-09-01,0.15,Neutro
SON,1952,26.17,0.1,1952-10-01,0.1,Neutro
OND,1952,26.13,0.04,1952-11-01,0.04,Neutro
NDJ,1952,26.29,0.15,1952-12-01,0.15,Neutro
DJF,1953,26.65,0.4,1953-01-01,0.4,Neutro
JFM,1953,27.1,0.6,1953-02-01,0.6,Nino
FMA,1953,27.53,0.63,1953-03-01,0.63,Nino
MAM,1953,27.96,0.66,1953-04-01,0.66,Nino
AMJ,1953,28.14,0.75,1953-05-01,0.75,Nino
MJJ,1953,27.94,0.77,1953-06-01,0.77,Nino
JJA,1953,27.49,0.75,1953-07-01,0.75,Nino
JAS,1953,27.12,0.73,1953-08-01,0.73,Nino
ASO,1953,26.93,0.78,1953-09-01,0.78,Nino
SON,1953,26.91,0.84,1953-10-01,0.84,Nino
OND,1953,26.92,0.84,1953-11-01,0.84,Nino
NDJ,1953,26.95,0.81,1953-12-01,0.81,Nino
DJF,1954,27.0,0.76,1954-01-01,0.76,Nino
JFM,1954,26.97,0.47,1954-02-01,0.47,Neutro
FMA,1954,26.86,-0.05,1954-03-01,-0.05,Neutro
MAM,1954,26.89,-0.41,1954-04-01,-0.41,Neutro
AMJ,1954,26.85,-0.54,1954-05-01,-0.54,Nina
MJJ,1954,26.67,-0.5,1954-06-01,-0.5,Nina
JJA,1954,26.1,-0.64,1954-07-01,-0.64,Nina
JAS,1954,25.54,-0.84,1954-08-01,-0.84,Nina
ASO,1954,25.25,-0.9,1954-09-01,-0.9,Nina
SON,1954,25.3,-0.77,1954-10-01,-0.77,Nina
OND,1954,25.35,-0.73,1954-11-01,-0.73,Nina
NDJ,1954,25.48,-0.66,1954-12-01,-0.66,Nina
DJF,1955,25.57,-0.68,1955-01-01,-0.68,Nina
JFM,1955,25.89,-0.62,1955-02-01,-0.62,Nina
FMA,1955,26.22,-0.69,1955-03-01,-0.69,Nina
MAM,1955,26.5,-0.8,1955-04-01,-0.8,Nina
AMJ,1955,26.6,-0.79,1955-05-01,-0.79,Nina
MJJ,1955,26.45,-0.72,1955-06-01,-0.72,Nina
JJA,1955,26.06,-0.68,1955-07-01,-0.68,Nina
JAS,1955,25.64,-0.75,1955-08-01,-0.75,Nina
ASO,1955,25.06,-1.09,1955-09-01,-1.09,Nina
SON,1955,24.65,-1.42,1955-10-01,-1.42,Nina
OND,1955,24.41,-1.67,1955-11-01,-1.67,Nina
NDJ,1955,24.72,-1.47,1955-12-01,-1.47,Nina
DJF,1956,25.23,-1.11,1956-01-01,-1.11,Nina
JFM,1956,25.86,-0.76,1956-02-01,-0.76,Nina
FMA,1956,26.37,-0.63,1956-03-01,-0.63,Nina
MAM,1956,26.82,-0.54,1956-04-01,-0.54,Nina
AMJ,1956,26.93,-0.52,1956-05-01,-0.52,Nina
MJJ,1956,26.72,-0.51,1956-06-01,-0.51,Nina
JJA,1956,26.23,-0.57,1956-07-01,-0.57,Nina
JAS,1956,25.87,-0.55,1956-08-01,-0.55,Nina
ASO,1956,25.71,-0.46,1956-09-01,-0.46,Neutro
SON,1956,25.67,-0.42,1956-10-01,-0.42,Neutro
OND,1956,25.67,-0.43,1956-11-01,-0.43,Neutro
NDJ,1956,25.77,-0.43,1956-12-01,-0.43,Neutro
DJF,1957,26.09,-0.25,1957-01-01,-0.25,Neutro
JFM,1957,26.68,0.06,1957-02-01,0.06,Neutro
FMA,1957,27.41,0.41,1957-03-01,0.41,Neutro
MAM,1957,28.08,0.72,1957-04-01,0.72,Nino
AMJ,1957,28.37,0.92,1957-05-01,0.92,Nino
MJJ,1957,28.34,1.11,1957-06-01,1.11,Nino
JJA,1957,28.06,1.25,1957-07-01,1.25,Nino
JAS,1957,27.75,1.32,1957-08-01,1.32,Nino
ASO,1957,27.5,1.33,1957-09-01,1.33,Nino
SON,1957,27.48,1.39,1957-10-01,1.39,Nino
OND,1957,27.64,1.53,1957-11-01,1.53,Nino
NDJ,1957,27.94,1.74,1957-12-01,1.74,Nino
DJF,1958,28.15,1.81,1958-01-01,1.81,Nino
JFM,1958,28.27,1.66,1958-02-01,1.66,Nino
FMA,1958,28.26,1.27,1958-03-01,1.27,Nino
MAM,1958,28.28,0.93,1958-04-01,0.93,Nino
AMJ,1958,28.19,0.74,1958-05-01,0.74,Nino
MJJ,1958,27.87,0.64,1958-06-01,0.64,Nino
JJA,1958,27.38,0.57,1958-07-01,0.57,Nino
JAS,1958,26.85,0.43,1958-08-01,0.43,Neutro
ASO,1958,26.56,0.39,1958-09-01,0.39,Neutro
SON,1958,26.53,0.44,1958-10-01,0.44,Neutro
OND,1958,26.6,0.5,1958-11-01,0.5,Nino
NDJ,1958,26.81,0.61,1958-12-01,0.61,Nino
DJF,1959,26.95,0.61,1959-01-01,0.61,Nino
JFM,1959,27.24,0.62,1959-02-01,0.62,Nino
FMA,1959,27.51,0.52,1959-03-01,0.52,Nino
MAM,1959,27.68,0.33,1959-04-01,0.33,Neutro
AMJ,1959,27.65,0.2,1959-05-01,0.2,Neutro
MJJ,1959,27.16,-0.07,1959-06-01,-0.07,Neutro
JJA,1959,26.63,-0.18,1959-07-01,-0.18,Neutro
JAS,1959,26.15,-0.28,1959-08-01,-0.28,Neutro
ASO,1959,26.08,-0.09,1959-09-01,-0.09,Neutro
SON,1959,26.07,-0.03,1959-10-01,-0.03,Neutro
OND,1959,26.15,0.05,1959-11-01,0.05,Neutro
NDJ,1959,26.16,-0.04,1959-12-01,-0.04,Neutro
DJF,1960,26.24,-0.1,1960-01-01,-0.1,Neutro
JFM,1960,26.51,-0.1,1960-02-01,-0.1,Neutro
FMA,1960,26.92,-0.07,1960-03-01,-0.07,Neutro
MAM,1960,27.39,0.03,1960-04-01,0.03,Neutro
AMJ,1960,27.47,0.02,1960-05-01,0.02,Neutro
MJJ,1960,27.26,0.03,1960-06-01,0.03,Neutro
JJA,1960,26.93,0.13,1960-07-01,0.13,Neutro
JAS,1960,26.66,0.24,1960-08-01,0.24,Neutro
ASO,1960,26.44,0.27,1960-09-01,0.27,Neutro
SON,1960,26.3,0.2,1960-10-01,0.2,Neutro
OND,1960,26.23,0.12,1960-11-01,0.12,Neutro
NDJ,1960,26.23,0.05,1960-12-01,0.05,Neutro
DJF,1961,26.34,0.04,1961-01-01,0.04,Neutro
JFM,1961,26.58,0.03,1961-02-01,0.03,Neutro
FMA,1961,26.96,0.04,1961-03-01,0.04,Neutro
MAM,1961,27.35,0.09,1961-04-01,0.09,Neutro
AMJ,1961,27.59,0.23,1961-05-01,0.23,Neutro
MJJ,1961,27.42,0.27,1961-06-01,0.27,Neutro
JJA,1961,26.9,0.14,1961-07-01,0.14,Neutro
JAS,1961,26.27,-0.13,1961-08-01,-0.13,Neutro
ASO,1961,25.89,-0.3,1961-09-01,-0.3,Neutro
SON,1961,25.85,-0.26,1961-10-01,-0.26,Neutro
OND,1961,25.91,-0.19,1961-11-01,-0.19,Neutro
NDJ,1961,26.0,-0.16,1961-12-01,-0.16,Neutro
DJF,1962,26.05,-0.24,1962-01-01,-0.24,Neutro
JFM,1962,26.32,-0.22,1962-02-01,-0.22,Neutro
FMA,1962,26.71,-0.2,1962-03-01,-0.2,Neutro
MAM,1962,27.0,-0.26,1962-04-01,-0.26,Neutro
AMJ,1962,27.09,-0.28,1962-05-01,-0.28,Neutro
MJJ,1962,26.96,-0.2,1962-06-01,-0.2,Neutro
JJA,1962,26.72,-0.04,1962-07-01,-0.04,Neutro
JAS,1962,26.34,-0.07,1962-08-01,-0.07,Neutro
ASO,1962,26.07,-0.11,1962-09-01,-0.11,Neutro
SON,1962,25.88,-0.22,1962-10-01,-0.22,Neutro
OND,1962,25.79,-0.31,1962-11-01,-0.31,Neutro
NDJ,1962,25.73,-0.43,1962-12-01,-0.43,Neutro
DJF,1963,25.89,-0.4,1963-01-01,-0.4,Neutro
JFM,1963,26.39,-0.15,1963-02-01,-0.15,Neutro
FMA,1963,27.07,0.15,1963-03-01,0.15,Neutro
MAM,1963,27.53,0.27,1963-04-01,0.27,Neutro
AMJ,1963,27.68,0.31,1963-05-01,0.31,Neutro
MJJ,1963,27.67,0.52,1963-06-01,0.52,Nino
JJA,1963,27.62,0.86,1963-07-01,0.86,Nino
JAS,1963,27.54,1.14,1963-08-01,1.14,Nino
ASO,1963,27.4,1.22,1963-09-01,1.22,Nino
SON,1963,27.4,1.29,1963-10-01,1.29,Nino
OND,1963,27.47,1.37,1963-11-01,1.37,Nino
NDJ,1963,27.47,1.31,1963-12-01,1.31,Nino
DJF,1964,27.36,1.07,1964-01-01,1.07,Nino
JFM,1964,27.16,0.62,1964-02-01,0.62,Nino
FMA,1964,27.03,0.12,1964-03-01,0.12,Neutro
MAM,1964,26.93,-0.33,1964-04-01,-0.33,Neutro
AMJ,1964,26.78,-0.58,1964-05-01,-0.58,Nina
MJJ,1964,26.57,-0.58,1964-06-01,-0.58,Nina
JJA,1964,26.16,-0.6,1964-07-01,-0.6,Nina
JAS,1964,25.74,-0.66,1964-08-01,-0.66,Nina
ASO,1964,25.42,-0.76,1964-09-01,-0.76,Nina
SON,1964,25.31,-0.8,1964-10-01,-0.8,Nina
OND,1964,25.28,-0.82,1964-11-01,-0.82,Nina
NDJ,1964,25.38,-0.78,1964-12-01,-0.78,Nina
DJF,1965,25.69,-0.59,1965-01-01,-0.59,Nina
JFM,1965,26.27,-0.28,1965-02-01,-0.28,Neutro
FMA,1965,26.85,-0.07,1965-03-01,-0.07,Neutro
MAM,1965,27.44,0.18,1965-04-01,0.18,Neutro
AMJ,1965,27.82,0.46,1965-05-01,0.46,Neutro
MJJ,1965,27.99,0.83,1965-06-01,0.83,Nino
JJA,1965,27.98,1.22,1965-07-01,1.22,Nino
JAS,1965,27.95,1.54,1965-08-01,1.54,Nino
ASO,1965,28.04,1.85,1965-09-01,1.85,Nino
SON,1965,28.09,1.98,1965-10-01,1.98,Nino
OND,1965,28.07,1.97,1965-11-01,1.97,Nino
NDJ,1965,27.91,1.72,1965-12-01,1.72,Nino
DJF,1966,27.72,1.37,1966-01-01,1.37,Nino
JFM,1966,27.81,1.17,1966-02-01,1.17,Nino
FMA,1966,27.98,0.98,1966-03-01,0.98,Nino
MAM,1966,27.97,0.66,1966-04-01,0.66,Nino
AMJ,1966,27.78,0.35,1966-05-01,0.35,Neutro
MJJ,1966,27.5,0.24,1966-06-01,0.24,Neutro
JJA,1966,27.14,0.24,1966-07-01,0.24,Neutro
JAS,1966,26.69,0.12,1966-08-01,0.12,Neutro
ASO,1966,26.32,-0.05,1966-09-01,-0.05,Neutro
SON,1966,26.24,-0.1,1966-10-01,-0.1,Neutro
OND,1966,26.16,-0.18,1966-11-01,-0.18,Neutro
NDJ,1966,26.04,-0.3,1966-12-01,-0.3,Neutro
DJF,1967,26.01,-0.41,1967-01-01,-0.41,Neutro
JFM,1967,26.17,-0.48,1967-02-01,-0.48,Neutro
FMA,1967,26.46,-0.53,1967-03-01,-0.53,Nina
MAM,1967,26.87,-0.45,1967-04-01,-0.45,Neutro
AMJ,1967,27.19,-0.24,1967-05-01,-0.24,Neutro
MJJ,1967,27.26,-0.0,1967-06-01,-0.0,Neutro
JJA,1967,26.95,0.05,1967-07-01,0.05,Neutro
JAS,1967,26.41,-0.16,1967-08-01,-0.16,Neutro
ASO,1967,26.08,-0.3,1967-09-01,-0.3,Neutro
SON,1967,25.96,-0.38,1967-10-01,-0.38,Neutro
OND,1967,26.0,-0.34,1967-11-01,-0.34,Neutro
NDJ,1967,25.9,-0.44,1967-12-01,-0.44,Neutro
DJF,1968,25.78,-0.64,1968-01-01,-0.64,Nina
JFM,1968,25.91,-0.74,1968-02-01,-0.74,Nina
FMA,1968,26.38,-0.62,1968-03-01,-0.62,Nina
MAM,1968,26.88,-0.44,1968-04-01,-0.44,Neutro
AMJ,1968,27.39,-0.04,1968-05-01,-0.04,Neutro
MJJ,1968,27.54,0.28,1968-06-01,0.28,Neutro
JJA,1968,27.48,0.58,1968-07-01,0.58,Nino
JAS,1968,27.1,0.53,1968-08-01,0.53,Nino
ASO,1968,26.82,0.45,1968-09-01,0.45,Neutro
SON,1968,26.89,0.55,1968-10-01,0.55,Nino
OND,1968,27.07,0.73,1968-11-01,0.73,Nino
NDJ,1968,27.32,0.98,1968-12-01,0.98,Nino
DJF,1969,27.54,1.13,1969-01-01,1.13,Nino
JFM,1969,27.73,1.09,1969-02-01,1.09,Nino
FMA,1969,27.94,0.95,1969-03-01,0.95,Nino
MAM,1969,28.09,0.77,1969-04-01,0.77,Nino
AMJ,1969,28.04,0.61,1969-05-01,0.61,Nino
MJJ,1969,27.69,0.43,1969-06-01,0.43,Neutro
JJA,1969,27.26,0.36,1969-07-01,0.36,Neutro
JAS,1969,27.08,0.51,1969-08-01,0.51,Nino
ASO,1969,27.17,0.79,1969-09-01,0.79,Nino
SON,1969,27.2,0.86,1969-10-01,0.86,Nino
OND,1969,27.14,0.81,1969-11-01,0.81,Nino
NDJ,1969,26.98,0.63,1969-12-01,0.63,Nino
DJF,1970,26.93,0.51,1970-01-01,0.51,Nino
JFM,1970,26.98,0.34,1970-02-01,0.34,Neutro
FMA,1970,27.29,0.29,1970-03-01,0.29,Neutro
MAM,1970,27.51,0.19,1970-04-01,0.19,Neutro
AMJ,1970,27.47,0.04,1970-05-01,0.04,Neutro
MJJ,1970,26.96,-0.3,1970-06-01,-0.3,Neutro
JJA,1970,26.28,-0.63,1970-07-01,-0.63,Nina
JAS,1970,25.81,-0.76,1970-08-01,-0.76,Nina
ASO,1970,25.61,-0.77,1970-09-01,-0.77,Nina
SON,1970,25.6,-0.74,1970-10-01,-0.74,Nina
OND,1970,25.48,-0.86,1970-11-01,-0.86,Nina
NDJ,1970,25.22,-1.15,1970-12-01,-1.15,Nina
DJF,1971,25.1,-1.36,1971-01-01,-1.36,Nina
JFM,1971,25.32,-1.38,1971-02-01,-1.38,Nina
FMA,1971,25.92,-1.12,1971-03-01,-1.12,Nina
MAM,1971,26.51,-0.85,1971-04-01,-0.85,Nina
AMJ,1971,26.73,-0.73,1971-05-01,-0.73,Nina
MJJ,1971,26.56,-0.74,1971-06-01,-0.74,Nina
JJA,1971,26.15,-0.8,1971-07-01,-0.8,Nina
JAS,1971,25.86,-0.77,1971-08-01,-0.77,Nina
ASO,1971,25.64,-0.82,1971-09-01,-0.82,Nina
SON,1971,25.58,-0.85,1971-10-01,-0.85,Nina
OND,1971,25.46,-0.96,1971-11-01,-0.96,Nina
NDJ,1971,25.52,-0.9,1971-12-01,-0.9,Nina
DJF,1972,25.77,-0.71,1972-01-01,-0.71,Nina
JFM,1972,26.35,-0.35,1972-02-01,-0.35,Neutro
FMA,1972,27.1,0.06,1972-03-01,0.06,Neutro
MAM,1972,27.77,0.41,1972-04-01,0.41,Neutro
AMJ,1972,28.13,0.67,1972-05-01,0.67,Nino
MJJ,1972,28.21,0.92,1972-06-01,0.92,Nino
JJA,1972,28.09,1.13,1972-07-01,1.13,Nino
JAS,1972,28.0,1.37,1972-08-01,1.37,Nino
ASO,1972,28.04,1.58,1972-09-01,1.58,Nino
SON,1972,28.26,1.84,1972-10-01,1.84,Nino
OND,1972,28.51,2.09,1972-11-01,2.09,Nino
NDJ,1972,28.54,2.12,1972-12-01,2.12,Nino
DJF,1973,28.32,1.84,1973-01-01,1.84,Nino
JFM,1973,27.95,1.25,1973-02-01,1.25,Nino
FMA,1973,27.59,0.54,1973-03-01,0.54,Nino
MAM,1973,27.26,-0.1,1973-04-01,-0.1,Neutro
AMJ,1973,26.92,-0.54,1973-05-01,-0.54,Nina
MJJ,1973,26.42,-0.87,1973-06-01,-0.87,Nina
JJA,1973,25.84,-1.11,1973-07-01,-1.11,Nina
JAS,1973,25.35,-1.28,1973-08-01,-1.28,Nina
ASO,1973,25.01,-1.45,1973-09-01,-1.45,Nina
SON,1973,24.71,-1.71,1973-10-01,-1.71,Nina
OND,1973,24.47,-1.95,1973-11-01,-1.95,Nina
NDJ,1973,24.38,-2.03,1973-12-01,-2.03,Nina
DJF,1974,24.64,-1.84,1974-01-01,-1.84,Nina
JFM,1974,25.14,-1.55,1974-02-01,-1.55,Nina
FMA,1974,25.82,-1.23,1974-03-01,-1.23,Nina
MAM,1974,26.33,-1.03,1974-04-01,-1.03,Nina
AMJ,1974,26.55,-0.91,1974-05-01,-0.91,Nina
MJJ,1974,26.52,-0.77,1974-06-01,-0.77,Nina
JJA,1974,26.42,-0.53,1974-07-01,-0.53,Nina
JAS,1974,26.26,-0.37,1974-08-01,-0.37,Neutro
ASO,1974,26.06,-0.41,1974-09-01,-0.41,Neutro
SON,1974,25.82,-0.61,1974-10-01,-0.61,Nina
OND,1974,25.67,-0.75,1974-11-01,-0.75,Nina
NDJ,1974,25.78,-0.64,1974-12-01,-0.64,Nina
DJF,1975,25.94,-0.54,1975-01-01,-0.54,Nina
JFM,1975,26.13,-0.57,1975-02-01,-0.57,Nina
FMA,1975,26.39,-0.65,1975-03-01,-0.65,Nina
MAM,1975,26.63,-0.73,1975-04-01,-0.73,Nina
AMJ,1975,26.64,-0.83,1975-05-01,-0.83,Nina
MJJ,1975,26.31,-0.98,1975-06-01,-0.98,Nina
JJA,1975,25.82,-1.13,1975-07-01,-1.13,Nina
JAS,1975,25.43,-1.2,1975-08-01,-1.2,Nina
ASO,1975,25.09,-1.37,1975-09-01,-1.37,Nina
SON,1975,25.0,-1.43,1975-10-01,-1.43,Nina
OND,1975,24.87,-1.55,1975-11-01,-1.55,Nina
NDJ,1975,24.75,-1.65,1975-12-01,-1.65,Nina
DJF,1976,24.9,-1.56,1976-01-01,-1.56,Nina
JFM,1976,25.5,-1.17,1976-02-01,-1.17,Nina
FMA,1976,26.28,-0.73,1976-03-01,-0.73,Nina
