codigo_dane,municipio,departamento,mes,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,et0_fao_evapotranspiration,wind_speed_10m_max,shortwave_radiation_sum
05001,Medellin,Antioquia,1997-09-01,20.486666666666668,14.5,28.7,221.4,106.71000000000001,5.63,528.79
05001,Medellin,Antioquia,1997-10-01,20.79032258064516,14.8,28.8,163.0,122.28,6.04516129032258,613.17
05001,Medellin,Antioquia,1997-11-01,20.05666666666667,15.2,27.7,319.0,88.68,4.463333333333334,443.85
05001,Medellin,Antioquia,1997-12-01,21.26451612903226,14.9,29.0,65.3,128.21,6.16774193548387,641.12
05001,Medellin,Antioquia,1998-01-01,22.154838709677417,14.8,30.9,59.7,130.18,6.206451612903226,631.68
05001,Medellin,Antioquia,1998-02-01,21.982142857142858,15.7,31.5,173.3,108.65,5.314285714285715,529.04
05001,Medellin,Antioquia,1998-03-01,21.793548387096774,16.9,29.9,287.9,120.72,5.158064516129032,588.67
05001,Medellin,Antioquia,1998-04-01,21.723333333333336,17.2,28.7,401.7,103.1,4.336666666666667,500.77
05001,Medellin,Antioquia,1998-05-01,21.241935483870968,16.0,29.7,318.0,109.25,5.196774193548387,538.09
05001,Medellin,Antioquia,1998-06-01,20.613333333333333,15.1,28.6,193.0,126.6,6.4399999999999995,640.78
05001,Medellin,Antioquia,1998-07-01,20.348387096774193,13.9,29.0,231.9,136.05,6.990322580645161,691.68
05001,Medellin,Antioquia,1998-08-01,20.6,14.3,28.6,212.8,131.22,6.606451612903226,660.93
05001,Medellin,Antioquia,1998-09-01,20.546666666666667,14.9,29.1,280.2,121.19,5.413333333333333,608.24
05001,Medellin,Antioquia,1998-10-01,20.40967741935484,15.4,28.6,418.2,110.57000000000001,5.090322580645162,555.3
05001,Medellin,Antioquia,1998-11-01,19.823333333333334,15.3,26.1,368.6,82.81,4.39,414.79
05001,Medellin,Antioquia,1998-12-01,19.651612903225807,14.9,25.9,260.9,94.04,4.622580645161291,479.2
05001,Medellin,Antioquia,1999-01-01,19.616129032258065,14.6,26.4,201.0,103.49,4.445161290322581,528.98
05001,Medellin,Antioquia,1999-02-01,19.460714285714285,15.0,26.1,318.1,87.39,4.321428571428571,443.19
05001,Medellin,Antioquia,1999-03-01,19.75483870967742,14.4,28.0,309.2,114.61,4.690322580645161,577.35
05001,Medellin,Antioquia,1999-04-01,20.05666666666667,13.7,28.7,301.4,110.15,5.636666666666667,549.21
05001,Medellin,Antioquia,1999-05-01,19.938709677419357,15.2,27.2,232.5,117.58,5.758064516129032,597.43
05001,Medellin,Antioquia,1999-06-01,19.740000000000002,14.2,27.3,243.3,109.28,5.203333333333333,558.82
05001,Medellin,Antioquia,1999-07-01,19.674193548387095,13.3,27.9,160.1,139.27,7.16774193548387,716.83
05001,Medellin,Antioquia,1999-08-01,19.82903225806452,13.4,28.0,242.9,130.4,6.82258064516129,664.5
05001,Medellin,Antioquia,1999-09-01,19.533333333333335,14.1,26.7,346.4,107.6,5.16,545.52
05001,Medellin,Antioquia,1999-10-01,19.416129032258063,15.1,26.9,347.6,103.44,4.387096774193548,526.02
05001,Medellin,Antioquia,1999-11-01,19.446666666666665,14.9,25.9,356.2,84.24,4.806666666666667,426.74
05001,Medellin,Antioquia,1999-12-01,19.58709677419355,13.5,26.0,278.1,90.44,4.087096774193548,461.49
05001,Medellin,Antioquia,2000-01-01,18.996774193548386,13.6,26.5,231.8,98.83,4.583870967741936,508.21000000000004
05001,Medellin,Antioquia,2000-02-01,19.26551724137931,13.8,27.3,270.3,100.09,4.406896551724138,510.35
05001,Medellin,Antioquia,2000-03-01,19.574193548387097,14.0,28.1,262.1,116.64999999999999,4.554838709677419,590.15
05001,Medellin,Antioquia,2000-04-01,19.990000000000002,14.8,27.7,279.7,114.03,5.28,571.5
05001,Medellin,Antioquia,2000-05-01,20.08709677419355,15.5,27.1,336.1,112.35,4.887096774193548,568.89
05001,Medellin,Antioquia,2000-06-01,19.86,14.8,27.2,249.7,117.07,5.386666666666667,601.97
05001,Medellin,Antioquia,2000-07-01,19.719354838709677,14.2,27.7,253.4,127.35,6.377419354838709,654.39
05001,Medellin,Antioquia,2000-08-01,20.25483870967742,13.8,29.0,153.2,145.27,7.548387096774194,735.93
05001,Medellin,Antioquia,2000-09-01,19.736666666666668,15.1,27.0,347.6,109.26,5.096666666666667,553.9300000000001
05001,Medellin,Antioquia,2000-10-01,19.916129032258063,14.2,27.5,270.8,111.74,5.125806451612903,566.05
05001,Medellin,Antioquia,2000-11-01,19.936666666666667,15.1,27.1,259.2,98.67999999999999,4.6033333333333335,498.89
05001,Medellin,Antioquia,2000-12-01,19.56451612903226,14.6,26.6,219.5,95.36,4.683870967741935,486.12
05001,Medellin,Antioquia,2001-01-01,19.580645161290324,13.9,26.8,96.1,116.0,5.206451612903226,595.27
05001,Medellin,Antioquia,2001-02-01,20.175,13.1,28.8,148.3,112.31,6.328571428571428,559.97
05001,Medellin,Antioquia,2001-03-01,20.009677419354837,14.5,27.9,251.8,117.59,4.919354838709677,591.92
05001,Medellin,Antioquia,2001-04-01,20.493333333333332,15.2,28.3,185.3,123.06,5.8966666666666665,612.84
05001,Medellin,Antioquia,2001-05-01,20.480645161290322,15.2,28.1,279.1,110.67,5.219354838709678,555.8
05001,Medellin,Antioquia,2001-06-01,19.986666666666668,13.9,28.7,147.9,126.47,6.9766666666666675,642.35
05001,Medellin,Antioquia,2001-07-01,19.94193548387097,13.5,28.2,165.4,128.9,7.106451612903226,656.76
05001,Medellin,Antioquia,2001-08-01,21.04516129032258,13.5,30.3,91.6,151.92,8.796774193548387,753.91
05001,Medellin,Antioquia,2001-09-01,19.956666666666667,14.1,28.4,255.3,115.77,5.8,583.8
05001,Medellin,Antioquia,2001-10-01,20.306451612903224,15.2,28.7,272.0,103.92,5.27741935483871,519.31
05001,Medellin,Antioquia,2001-11-01,20.009999999999998,15.0,27.2,314.3,94.41,4.510000000000001,477.74
05001,Medellin,Antioquia,2001-12-01,20.438709677419357,15.9,27.3,193.5,95.16,4.074193548387097,478.09
05001,Medellin,Antioquia,2002-01-01,20.299999999999997,13.8,28.0,92.6,119.89999999999999,5.425806451612903,606.19
05001,Medellin,Antioquia,2002-02-01,20.49642857142857,14.6,28.8,207.3,109.93,5.482142857142857,549.05
05001,Medellin,Antioquia,2002-03-01,20.822580645161292,14.5,30.1,239.4,126.29,5.82258064516129,622.44
05001,Medellin,Antioquia,2002-04-01,20.35,15.3,27.7,441.09999999999997,104.16,4.803333333333333,516.47
