fecha,precio_interno_cop_125kg,precio_diario_prom_cop,precio_diario_min_cop,precio_diario_max_cop,precio_exdock_cusd_libra,precio_oic_compuesto_cusd_libra,produccion_miles_sacos_60kg,exportaciones_volumen_miles_sacos,exportaciones_valor_musd
2021-04-01,1207433.3333333333,1207433.3333333333,1126000.0,1340000.0,181.68095238095236,122.02545454545452,810.0,1035.027,241.311511929999
2021-05-01,1385935.4838709678,1385935.4838709678,1319000.0,1470000.0,196.25900000000004,134.7764534294251,616.0,345.0,86.72255503
2021-06-01,1420800.0,1420800.0,1387000.0,1470000.0,206.10636363636365,141.02326032022293,1052.0,890.284,216.17543633
2021-07-01,1562741.935483871,1562741.935483871,1380000.0,1905000.0,214.44,152.2424558998325,1209.0,1184.276,290.39679935
2021-08-01,1704806.4516129033,1704806.4516129033,1638000.0,1797000.0,226.90090909090904,160.14000000000001,915.0,1130.973,287.77030789
2021-09-01,1712138.0,1712566.6666666667,1660000.0,1783000.0,238.32,170.02,1209.0,1089.832,283.758539349999
2021-10-01,1784935.4838709678,1784935.4838709678,1705000.0,1840000.0,257.12571428571425,181.56697234569052,1012.0,986.834,271.47765522
2021-11-01,1999655.1724137932,2006500.0,1815000.0,2205000.0,273.63523809523804,195.1705015355246,1131.0,1135.451,315.49001313
2021-12-01,2116483.870967742,2116483.870967742,2048000.0,2218000.0,291.94772727272726,203.0641365167007,1385.0,1167.18,329.082261140001
2022-01-01,2148333.3333333335,2149354.8387096776,2074000.0,2215000.0,293.1955,204.2941859123352,868.0,1031.827,299.29948004
2022-02-01,2213333.3333333335,2213642.8571428573,2125000.0,2307000.0,305.51842105263154,210.89149837121604,928.0,983.233,295.0
2022-03-01,1988774.1935483871,1988774.1935483871,1912000.0,2125000.0,287.9069565217392,194.783913043478,914.0,1120.626,346.833328
2022-04-01,2027448.2758620689,2025466.6666666667,1958000.0,2090000.0,292.57800000000003,198.3709523809524,750.0,848.0,258.0
2022-05-01,2096733.33333333,2098612.9032258065,2005000.0,2179000.0,285.1871428571429,193.7070406396392,1017.0,944.263,279.00063393999983
2022-06-01,2172233.3333333335,2172233.3333333335,2105000.0,2289000.0,301.2422727272727,202.4577239711359,951.0,939.0,288.0
2022-07-01,2250290.3225806453,2250290.3225806453,2105000.0,2365000.0,286.9865000000001,190.81792804666995,943.5992201888619,1020.512,315.135522140001
2022-08-01,2315548.0,2315548.3870967743,2180000.0,2530000.0,292.52,200.11,949.0,872.0,280.0
2022-09-01,2398966.6666666665,2398966.6666666665,2309000.0,2514000.0,296.45714285714286,199.92988980574688,834.0,816.0,263.0
2022-10-01,2277290.0,2277290.3225806453,2040000.0,2445000.0,269.49,178.53952380952379,888.0,944.0,298.0
2022-11-01,1990067.0,1990066.6666666667,1905000.0,2180000.0,225.1,156.65503751027381,1060.0,853.0,260.0
2022-12-01,1933032.0,1933032.2580645161,1865000.0,1998000.0,223.89,157.18535759909372,981.0,1035.0,294.0
2023-01-01,1838032.0,1838032.2580645161,1696000.0,2030000.0,218.24,156.95221515178633,868.0,832.373,233.09408185
2023-02-01,2075285.7142857143,2075285.7142857143,1958000.0,2222000.0,237.03999999999996,174.77021164684638,1025.0,929.255,266.821962369999
2023-03-01,1993129.0322580645,1993129.0322580645,1860000.0,2085000.0,228.24478260869566,170.03246631262428,799.0,906.561,268.4637703
2023-04-01,1978900.0,1978900.0,1882000.0,2100000.0,232.3694736842105,178.57177339664295,565.867207197894,723.151,213.18502031
2023-05-01,1895967.7419354839,1895967.7419354839,1740000.0,2010000.0,229.0759090909091,175.48429493934557,806.195505733111,845.853,256.944273389999
2023-06-01,1577900.0,1577900.0,1360000.0,1770000.0,215.43666666666667,171.24754555560233,956.0,753.422,228.909117
2023-07-01,1318774.1935483871,1318774.1935483871,1255000.0,1390000.0,190.3325,158.87809808137754,947.0,851.998,249.67483725
2023-08-01,1319096.7741935484,1319096.7741935484,1280000.0,1386000.0,188.70695652173913,154.5278260869565,872.0,816.755,227.82000625
2023-09-01,1285967.0,1285966.6666666667,1255000.0,1331000.0,186.0,153.13380952380956,849.0,840.002,229.80903993
2023-10-01,1379065.0,1379064.5161290322,1256000.0,1475000.0,184.97,151.93905308491907,1157.4584732241142,908.637,233.88378298
2023-11-01,1406448.2758620689,1406333.3333333333,1350000.0,1510000.0,194.45666666666662,161.52681818181821,1282.1066366773907,1104.61,279.963190769999
2023-12-01,1468258.064516129,1468258.064516129,1413000.0,1565000.0,206.92349999999996,175.7290476190476,1220.0,1066.685,278.5704733
2024-01-01,1423000.0,1423000.0,1372000.0,1484000.0,206.56,176.40544024229507,959.0,937.134,244.32928931
2024-02-01,1456862.0,1456862.0689655172,1411000.0,1503000.0,210.13,182.0380956546534,961.0,1045.063,274.98538408
2024-03-01,1440129.0322580645,1440129.0322580645,1415000.0,1491000.0,207.54699999999997,186.39020091932366,865.5325633014444,1005.461,280.585912080001
2024-04-01,1661933.3333333333,1661933.3333333333,1444000.0,1840000.0,237.3113636363637,216.8926135107163,742.0,791.794,220.28570494
2024-05-01,1596129.0322580645,1596129.0322580645,1485000.0,1785000.0,232.35272727272724,208.3811960089198,1120.0,935.22,263.41116923
2024-06-01,1817033.3333333333,1817033.3333333333,1700000.0,1910000.0,249.93999999999994,226.82563412178087,1172.0,1023.959,290.11315212
2024-07-01,1876387.0,1876387.0967741935,1820000.0,1981000.0,257.98,236.53591752800438,1158.8837518134924,1019.355,311.73273399
2024-08-01,1943323.0,1943322.5806451612,1828000.0,2085000.0,261.0,238.92,1049.0,1029.58,307.27508982
2024-09-01,2120233.3333333335,2120233.3333333335,1953000.0,2266000.0,276.2519999999999,258.89522893067425,1071.2334084844454,998.341,300.106804
2024-10-01,2173290.0,2173290.3225806453,2065000.0,2230000.0,280.03956521739127,250.5,1339.1550080564646,1039.068,325.27866713
2024-11-01,2456566.6666666665,2456566.6666666665,2175000.0,2785000.0,293.93850000000003,270.72,1761.409522227121,1193.949,377.39446703
2024-12-01,2764870.9677419355,2764870.9677419355,2568000.0,2865000.0,340.5166666666667,299.6059599428544,1798.2305515042488,1303.939,426.35009748
2025-01-01,2751258.06451613,2751258.064516129,2630000.0,3000000.0,345.945714285714,310.1212000126377,1355.76715345375,1153.15,379.08669765
