fecha,precio_arabica_brasil_usd_kg,precio_robusta_usd_kg,precio_arabica_wb_usd_kg,precio_robusta_wb_usd_kg,trm_cop_usd,precio_fnc_cop_kg,surge_flag,precio_arabica_brasil_cop_kg
2005-03-01,2.971344866905865,1.08902695162939,2.976898386,1.091507362,2369.0,,0,7039.115989699994
2005-04-01,2.855639513252522,1.118951875358514,2.855644286,1.11884465,2346.0,,0,6699.330298090416
2005-05-01,2.8306876504155123,1.2389387980227327,2.830070694,1.236130434,2337.510009765625,,0,6616.760717366198
2005-06-01,2.6710327583138396,1.3232857241349454,2.671117592,1.323212924,2326.0,,0,6212.822195837991
2005-07-01,2.423512130473452,1.2760681090369446,2.423538766,1.276034056,2195.60009765625,,0,5321.063470338618
2005-08-01,2.385489890550942,1.1458295790816033,2.38539884,1.145741014,2302.0,,0,5491.397728048269
2005-09-01,2.1934008776810234,1.0333876339008703,2.193376438,1.033305394,2287.0,,0,5016.3078072565
2005-10-01,2.3170392691901003,1.0492857436807066,2.31595331,1.047855886,2288.0,,0,5301.3858479069495
2005-11-01,2.37531245540646,1.1343193482649205,2.375257588,1.13427699,2273.5,,0,5400.272867366587
2005-12-01,2.3352383960595753,1.243267878702366,2.331826574,1.243185218,2285.0,,0,5336.01973499613
2006-01-01,2.738113466807977,1.3974813568942213,2.73813804,1.397508618,2265.0,,0,6201.827002320068
2006-02-01,2.6261816786892185,1.3884283673433395,2.626143344,1.388469676,2244.0,,0,5893.151686978606
2006-03-01,2.5057857013044478,1.3139561544295315,2.505771092,1.31395352,2293.0,,0,5745.766613091098
2006-04-01,2.5427586906294644,1.3339300516763963,2.544572404,1.33489741,2263.199951171875,,0,5754.771344474465
2006-05-01,2.416920166523909,1.325976150181316,2.410972432,1.324535696,2406.10009765625,,0,5815.351848700538
2006-06-01,2.274060068399476,1.3278452882766891,2.27406553,1.327842626,2517.60009765625,,0,5725.173850278699
2006-07-01,2.314803150135342,1.421867270691765,2.314851,1.421759438,2321.0,,0,5372.6581114641285
2006-08-01,2.4632268646713347,1.6223735254896756,2.463221926,1.622379858,2395.0,,0,5899.428340887846
2006-09-01,2.4212655132071705,1.699712936904069,2.421334146,1.699982482,2287.10009765625,,0,5537.67659170783
2006-10-01,2.439046143189955,1.65712598747132,2.438971106,1.657212854,2202.199951171875,,0,5371.267297438869
2006-11-01,2.6954940683577866,1.6929511342993064,2.695588874,1.692927698,2194.800048828125,,0,5916.070512847591
2006-12-01,2.8297719200557,1.6967734376771573,2.831613928,1.690282154,2138.199951171875,,0,6050.618181290641
2007-01-01,2.749042042762813,1.7462063206390417,2.745413286,1.744515806,2142.800048828125,,0,5890.647423462724
2007-02-01,2.6903472724386672,1.7433177833824232,2.690297786,1.743413496,2126.0,,0,5719.678301204606
2007-03-01,2.5812544393119015,1.6974104882401326,2.581169096,1.6975574,2040.800048828125,,0,5267.824185785543
2007-04-01,2.5285887296240213,1.7528968764881216,2.52649452,1.754436596,2012.0999755859373,,0,5087.77332114337
2007-05-01,2.4984337581293126,1.8499578629176037,2.496511688,1.849896642,1877.5999755859373,,0,4691.059163266679
2007-06-01,2.630736327759202,2.0432984036839485,2.630773046,2.043241816,1917.4000244140625,,0,5044.173899072455
2007-07-01,2.593369852602819,2.03953813519238,2.593294506,2.039493962,1940.5999755859373,,0,5032.693472646336
2007-08-01,2.7150141441034545,1.9277140076851291,2.715871378,1.927719728,2143.800048828125,,0,5820.4474546980355
2007-09-01,2.8228782694580152,2.0455276989012154,2.822795448,2.045446436,1970.800048828125,,0,5563.328631283709
2007-10-01,2.960609304511927,2.005652273600408,2.960584198,2.00840882,1958.5,,0,5798.353322886609
2007-11-01,2.889060092449922,2.041772822672838,2.8880522,2.041257658,2041.800048828125,,0,5898.883037831638
2007-12-01,3.0433265388908333,2.0269106954939153,3.033116196,2.014802218,1999.0999755859373,,0,6083.9140095966995
2008-01-01,3.0825633762423545,2.1818209354202245,3.083381532,2.187203502,1905.300048828125,,0,5873.208151270348
2008-02-01,3.467643252295539,2.5451969002560717,3.467646798,2.54523379,1809.300048828125,,0,6274.007105696836
2008-03-01,3.2897510580097578,2.684655142149983,3.304504918,2.687872704,1809.5,,0,5952.804539468657
2008-04-01,3.1020067693994933,2.453416286001517,3.10190034,2.453521598,1741.0,,0,5400.593785524517
2008-05-01,3.1315286945897727,2.3993829456668307,3.12945809,2.400390256,1705.4000244140625,,0,5340.509112206735
2008-06-01,3.222048091887066,2.4545658401634705,3.22205213,2.454623908,1912.0,,0,6160.55595168807
2008-07-01,3.248667448317852,2.540407890024899,3.248728032,2.540383626,1764.699951171875,,0,5732.923287420173
2008-08-01,3.228189545629006,2.484076312759359,3.228225066,2.481520272,1888.800048828125,,0,6097.404571410509
2008-09-01,3.158545364757114,2.3231831088892068,3.158559074,2.323228556,2190.10009765625,,0,6917.5305118062515
2008-10-01,2.7246282236401678,1.9570067565028755,2.724689858,1.957041174,2344.10009765625,,0,6386.801285111892
2008-11-01,2.687128520785199,2.001005308735604,2.687211318,2.000913112,2290.800048828125,,0,6155.674146622181
2008-12-01,2.6189212753541398,1.8055394735126835,2.622836414,1.819031962,2284.5,,0,5982.925653546532
2009-01-01,2.817670345316335,1.8187850835913413,2.82852746,1.824102588,2351.199951171875,,0,6624.906378326207
2009-02-01,2.854580768620258,1.7685386867493254,2.854541976,1.768546164,2519.800048828125,,0,7192.972760153153
2009-03-01,2.8333833048201913,1.682298789941782,2.833377624,1.682345522,2553.0,,0,7233.627577205948
2009-04-01,2.9779665827038793,1.6689908752599452,2.973591456,1.665149486,2291.0,,0,6822.521440974588
2009-05-01,3.3177917809921915,1.66605567075593,3.328755738,1.667133644,2165.10009765625,,0,7183.351309029297
2009-06-01,3.3021165196115367,1.6265017500709489,3.302300298,1.626789098,2148.0,,0,7092.946284125581
2009-07-01,3.1062678814211124,1.580217272446336,3.10630958,1.580271616,2009.9000244140625,,0,6243.287890704912
2009-08-01,3.3016875245133246,1.5950772626375371,3.301638912,1.59504257,2053.0,,0,6778.364487825856
2009-09-01,3.274087726414928,1.6275038520801235,3.274522086,1.627450484,1924.0,,0,6299.344785622321
2009-10-01,3.407738071378523,1.6205492641364525,3.407681134,1.620616162,1943.5999755859373,,0,6623.279632334566
2009-11-01,3.3556693281732524,1.531825538201312,3.355652102,1.531769976,1998.0,,0,6704.627317690159
2009-12-01,3.482070077150353,1.534648644213494,3.4868159689,1.5407207332,2039.0,,0,7099.94088730957
2010-01-01,3.49776262115986,1.5419038212650091,3.50314118,1.544997696,1970.199951171875,,0,6891.291745419965
2010-02-01,3.480142947847405,1.4965982645196565,3.480213132,1.496496056,1896.199951171875,,0,6599.046887779395
2010-03-01,3.626664683143711,1.4825524106321943,3.6265999,1.48260695,1915.550048828125,,0,6947.057710879172
2010-04-01,3.73440328432921,1.5793127664589244,3.731098888,1.576744224,1954.0,,0,7297.024017579276
2010-05-01,3.8221363608495653,1.5591943756461648,3.820165536,1.556682182,1931.199951171875,,0,7381.3095534449285
2010-06-01,4.208698165271473,1.6958371880857286,4.20861958,1.695793704,1915.0,,0,8059.656986494871
2010-07-01,4.480097452416189,1.8799533902313494,4.480008302,1.879879474,1840.0,,0,8243.379312445788
2010-08-01,4.664764810666855,1.8231442273312501,4.664755458,1.822779816,1826.0,,0,8517.860544277677
2010-09-01,4.909989193331932,1.7918786446450075,4.909909202,1.791915136,1763.0,,0,8656.310947844197
2010-10-01,4.793714342824557,1.8765658082489067,4.798134968,1.879879474,1833.0,,0,8786.878390397413
2010-11-01,5.14807860969169,2.0280139620868733,5.147346776,2.029132248,1942.0,,0,9997.568660021261
2010-12-01,5.49930142161851,2.073727241566257,5.471205454,2.074326958,1915.0,,0,10531.162222399447
2011-01-01,5.815043349215028,2.2286548263637806,5.815126174,2.228650358,1866.4000244140625,,0,10853.197048943759
2011-02-01,6.3578832960016936,2.4107568034709606,6.346880518,2.41075197,1906.0,,0,12118.125562179228
2011-03-01,6.438989032089362,2.604303656915964,6.439033634,2.604317606,1870.0,,0,12040.909490007107
2011-04-01,6.624392468499067,2.588229069295755,6.616505544,2.587562494,1740.0999755859375,,0,11527.105172706895
2011-05-01,6.416910110648096,2.6892710148808137,6.417428358,2.689195476,1801.0,,0,11556.85510927722
