c_d_dep,departamento,c_d_mun,municipio,grupo_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,anio,periodo,area_sembrada_ha,area_cosechada_ha,produccion_ton,rendimiento_ton_ha,estado_fisico,nombre_cientifico,ciclo_cultivo,fuente_socrata,codigo_dane
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,738,627,509,0.81,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,765,689,680,0.99,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,756,667,682,1.02,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,716,623,788,1.26,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,701,608,786,1.29,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,832,785,570,0.73,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,672,578,347,0.6,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,671,553,327,0.59,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,674,585,761,1.3,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,656,635,953,1.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,666,635,476,0.75,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,792,683,513,0.75,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,736,629,511,0.81,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
