fecha,Anio,Mes,precio_interno_cop_125kg,precio_oic_compuesto_cusd_libra,produccion_miles_sacos_60kg,exportaciones_volumen_miles_sacos,ONI,Fase_ENSO,Temp_media_nac,Temp_max_nac,Precip_total_nac,ico_composite,colombian_milds,precio_interno_cop_125kg_lag1,precio_interno_cop_125kg_lag2,precio_interno_cop_125kg_lag3,precio_interno_cop_125kg_lag4,precio_interno_cop_125kg_lag5,precio_interno_cop_125kg_lag6,ONI_lag1,ONI_lag2,ONI_lag3,ONI_lag4,ONI_lag5,ONI_lag6,Temp_media_nac_lag1,Temp_media_nac_lag2,Temp_media_nac_lag3,Temp_media_nac_lag4,Temp_media_nac_lag5,Temp_media_nac_lag6,Precip_total_nac_lag1,Precip_total_nac_lag2,Precip_total_nac_lag3,Precip_total_nac_lag4,Precip_total_nac_lag5,Precip_total_nac_lag6,Es_El_Nino,Es_La_Nina
2020-12-01,2020,12,1047677.4193548388,114.73545454545456,1743.0,1309.0,-1.1,La Niña,19.195486775464264,25.877426941474397,15784.959,114.74,170.44,1044700.0,1052483.8709677418,1142233.3333333333,1143967.741935484,1001451.6129032258,962800.0,-1.2,-1.1,-0.8,-0.5,-0.4,-0.2,18.893747288503253,19.061100569259963,18.852944756554308,19.12729139362167,18.874437113402063,19.285487900078063,20306.733,15770.626,17541.131,20516.182,24203.052,21350.414,0,1
2021-01-01,2021,1,1073193.5483870967,115.7265,1081.0,1072.0,-0.9,La Niña,19.923724907063196,26.96648237472119,6273.691,115.73,173.42,1047677.4193548388,1044700.0,1052483.8709677418,1142233.3333333333,1143967.741935484,1001451.6129032258,-1.1,-1.2,-1.1,-0.8,-0.5,-0.4,19.195486775464264,18.893747288503253,19.061100569259963,18.852944756554308,19.12729139362167,18.874437113402063,15784.959,20306.733,15770.626,17541.131,20516.182,24203.052,0,1
2021-02-01,2021,2,1113535.7142857143,119.351,1107.0,1273.64,-0.8,La Niña,19.8090136275146,26.490958916288125,12200.02,119.35,176.96,1073193.5483870967,1047677.4193548388,1044700.0,1052483.8709677418,1142233.3333333333,1143967.741935484,-0.9,-1.1,-1.2,-1.1,-0.8,-0.5,19.923724907063196,19.195486775464264,18.893747288503253,19.061100569259963,18.852944756554308,19.12729139362167,6273.691,15784.959,20306.733,15770.626,17541.131,20516.182,0,1
2021-03-01,2021,3,1156032.258064516,120.35565217391306,1050.0,1128.007,-0.7,La Niña,18.3650126710593,24.58433685859098,20693.091,120.36,177.49,1113535.7142857143,1073193.5483870967,1047677.4193548388,1044700.0,1052483.8709677418,1142233.3333333333,-0.8,-0.9,-1.1,-1.2,-1.1,-0.8,19.8090136275146,19.923724907063196,19.195486775464264,18.893747288503253,19.061100569259963,18.852944756554308,12200.02,6273.691,15784.959,20306.733,15770.626,17541.131,0,1
2021-04-01,2021,4,1207433.3333333333,122.02545454545452,810.0,1035.027,-0.5,La Niña,18.97063679245283,24.5960612942217,12238.081,122.03,181.7,1156032.258064516,1113535.7142857143,1073193.5483870967,1047677.4193548388,1044700.0,1052483.8709677418,-0.7,-0.8,-0.9,-1.1,-1.2,-1.1,18.3650126710593,19.8090136275146,19.923724907063196,19.195486775464264,18.893747288503253,19.061100569259963,20693.091,12200.02,6273.691,15784.959,20306.733,15770.626,0,1
2021-05-01,2021,5,1385935.4838709678,134.7764534294251,616.0,345.0,-0.4,Neutro,17.440774058577407,23.08616670223152,13459.136,134.78,199.02,1207433.3333333333,1156032.258064516,1113535.7142857143,1073193.5483870967,1047677.4193548388,1044700.0,-0.5,-0.7,-0.8,-0.9,-1.1,-1.2,18.97063679245283,18.3650126710593,19.8090136275146,19.923724907063196,19.195486775464264,18.893747288503253,12238.081,20693.091,12200.02,6273.691,15784.959,20306.733,0,0
2021-06-01,2021,6,1420800.0,141.02326032022293,1052.0,890.284,-0.3,Neutro,15.946824842986741,21.9529799581298,14118.556,141.03,206.53,1385935.4838709678,1207433.3333333333,1156032.258064516,1113535.7142857143,1073193.5483870967,1047677.4193548388,-0.4,-0.5,-0.7,-0.8,-0.9,-1.1,17.440774058577407,18.97063679245283,18.3650126710593,19.8090136275146,19.923724907063196,19.195486775464264,13459.136,12238.081,20693.091,12200.02,6273.691,15784.959,0,0
2021-07-01,2021,7,1562741.935483871,152.2424558998325,1209.0,1184.276,-0.3,Neutro,18.063545098039217,24.281748744313727,15383.932,152.24,218.66,1420800.0,1385935.4838709678,1207433.3333333333,1156032.258064516,1113535.7142857143,1073193.5483870967,-0.3,-0.4,-0.5,-0.7,-0.8,-0.9,15.946824842986741,17.440774058577407,18.97063679245283,18.3650126710593,19.8090136275146,19.923724907063196,14118.556,13459.136,12238.081,20693.091,12200.02,6273.691,0,0
2021-08-01,2021,8,1704806.4516129033,160.14,915.0,1130.973,-0.4,Neutro,17.88840793918919,24.27546500126689,19383.752,160.14,225.4,1562741.935483871,1420800.0,1385935.4838709678,1207433.3333333333,1156032.258064516,1113535.7142857143,-0.3,-0.3,-0.4,-0.5,-0.7,-0.8,18.063545098039217,15.946824842986741,17.440774058577407,18.97063679245283,18.3650126710593,19.8090136275146,15383.932,14118.556,13459.136,12238.081,20693.091,12200.02,0,0
2021-09-01,2021,9,1712138.0,170.02,1209.0,1089.832,-0.6,La Niña,18.23153533712429,24.80381495044679,19109.064,170.02,240.38,1704806.4516129033,1562741.935483871,1420800.0,1385935.4838709678,1207433.3333333333,1156032.258064516,-0.4,-0.3,-0.3,-0.4,-0.5,-0.7,17.88840793918919,18.063545098039217,15.946824842986741,17.440774058577407,18.97063679245283,18.3650126710593,19383.752,15383.932,14118.556,13459.136,12238.081,20693.091,0,1
