Cod_Dpto,Departamento,Cod_Mpio,Municipio,Grupo_cultivo,Subgrupo,Cultivo,Desagregacion,Anio,Periodo,Area_sembrada,Area_cosechada,Produccion,Rendimiento,Ciclo,Estado_fisico,Cod_cultivo,Nombre_cientifico
5,Antioquia,5034,Andes,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,10540.36,7902.28,7744.23,0.98,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5034,Andes,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,10613.46,7954.13,6015.97,0.76,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5034,Andes,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,10625.7,8268.72,5649.21,0.68,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5034,Andes,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,10689.28,8094.23,20036.86,2.48,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5036,Angelópolis,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,256.0,217.0,283.0,1.3,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5036,Angelópolis,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,245.0,204.0,246.0,1.21,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5036,Angelópolis,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,239.84,203.55,185.23,0.91,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5036,Angelópolis,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,236.6,210.65,181.09,0.86,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5036,Angelópolis,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,216.31,181.72,172.8,0.95,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5036,Angelópolis,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,209.13,174.69,205.41,1.18,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
